,file_name,text
0,p02-135-00.jpg,Doc asked Lilyan to dance and once
1,m06-106-04.jpg,that they learned to fly properly . The pains associated
2,g01-025-03.jpg,those in authority to find some simple
3,d05-040-02.jpg,a sense of reverence . The Prayer Book was to be respected
4,m02-112-05.jpg,putting their best foot forward .
5,m03-006-00.jpg,"' Something's up , ' said Lord Undertone ,"
6,p02-069-00.jpg,"Gay , a little puzzled , went through"
7,f07-042a-03.jpg,a stewed black rat will ward off a fever .
8,m04-061-02.jpg,"of humour , that Isaiah . He banged down the receiver . Very uncivil . Dropped"
9,d06-107-01.jpg,"of course , and there had to be a big"
10,g07-079a-01.jpg,"hollow , and the news that Byron had left"
11,e06-070-08.jpg,essential to catch round fish whose
12,g02-062-03.jpg,contraction of the ventricles . Going on in Chapter Three
13,m06-106-07.jpg,light gravity became an increasing delight - the ugly
14,f04-083-03.jpg,During that time a description of the girl was
15,p03-029-02.jpg,when she was not free ; this much they had
16,n04-048-07.jpg,"*?2s as ' Seaweed ' , and a youngish , sharp-eyed"
17,f04-043-01.jpg,"description , but the man was not traced ."
18,d06-104-03.jpg,"to five of the timetable , the following"
19,m01-125-07.jpg,to offer any greeting . He was deeply
20,n06-123-09.jpg,the horses and drank enough to cure our
21,n02-062-00.jpg,You made some sort of a protest to Graybury .
22,n02-114-00.jpg,Beryl tried to suppress the thought that this was
23,f07-084a-08.jpg,"broth , or brew , A hotch-potch of all"
24,m01-131-01.jpg,gave the impression of having been thought out and
25,m02-109-03.jpg,step . He looked as if nothing Moke and his
26,g01-025-00.jpg,In this cruel process which was
27,p03-029-07.jpg,about their relationship . So when Nigel
28,p03-027-07.jpg,Little Phelpham .
29,m04-107-08.jpg,"fortitude , it now filled her with"
30,f04-032-02.jpg,man had been seen fleeing from Vauxhall station on
31,p02-081-06.jpg,that he had only met a few minutes before .
32,c04-165-00.jpg,"The film replaced "" What's My Line ? "" and "" Be My"
33,c04-165-07.jpg,"scene , ranging from pubs , the Eton wall game ,"
34,n02-062-01.jpg,I'll give you credit for that . But you didn't press
35,f04-035-04.jpg,woman had been engaged once before - to a barman
36,p06-096-05.jpg,then Philip was so certain that Nicholas
37,m03-033-06.jpg,of a bottle . If your lordship will excuse me
38,g04-052-05.jpg,and yet spoil the building with ornaments unsui-
39,p03-080-02.jpg,"member of the staff , distinguished or not ,"
40,g03-049-07.jpg,"Christianity , common ground could be found ."
41,n04-156-07.jpg,disposed towards each other .
42,p06-047-03.jpg,when you reach your parents'
43,m04-123-05.jpg,"herself up proper ... Getting dark , now ."
44,c04-139-04.jpg,"playwright Arnold Wesker . "" Instead , Muggeridge's appointment"
45,d04-012-03.jpg,"ved . Therefore , the real man , who"
46,m01-125-01.jpg,was clear . The street was quiet and
47,d05-030-02.jpg,led us to believe . Laud was enthusiastically hated
48,d01-104-00.jpg,This last objection might have had some weight in
49,d01-049-02.jpg,"he has not , until now , been able to exhibit exactly"
50,m01-049-10.jpg,drawing-in great breaths that
51,n02-009-01.jpg,"airport to meet Blanche , "" he said . "" As a matter"
52,g03-043-02.jpg,little granddaughter of Charlie Grant .
53,g07-079a-06.jpg,"made a will in Augusta's favour , she had"
54,p01-168-04.jpg,"hunted eyes , as if the poor fellow had rocks in"
55,d01-049-05.jpg,showing that such changes are part of a
56,m04-123-01.jpg,"restive queue of people in the bus station ,"
57,g01-074-07.jpg,The city merchants were jealous of foreign
58,m06-042-01.jpg,"World , you become a true human . The grub of the"
59,g03-049-05.jpg,"socialism . With such men , who had the"
60,f07-032a-05.jpg,was a subject of no little importance to the Romans .
61,e06-021-06.jpg,But this southerly migration is not
62,e06-053-02.jpg,happen just after the fish had risen above
63,g03-043-10.jpg,"only book they were allowed ,"
64,g01-019-01.jpg,"Brittany was compelled to attack via Calais ,"
65,f07-088b-05.jpg,breakfast and supper consisted of a piece of coarse bread
66,p06-058-03.jpg,know that well enough . '
67,d04-032-06.jpg,the Light which can be read in every
68,n01-057-07.jpg,across Italy via Foggia to Barletta .
69,n04-084-06.jpg,one in return and he was lonely .
70,n01-020-03.jpg,gradations of silvery greyness . Even the snow-
71,m04-246-02.jpg,"Island . "" What have you got in that basket , Price ? """
72,p03-047-08.jpg,Of course such as I couldn't afford
73,n02-049-03.jpg,"look as though it was only what you expected of me ,"
