,file_name,text
0,c04-110-00.jpg,Become a success with a disc and hey presto ! You're a star ... . Rolly sings with
1,c04-110-01.jpg,"assuredness "" Bella Bella Marie "" ( Parlophone ) , a lively song that changes tempo mid-way"
2,c04-110-02.jpg,"I don't think he will storm the charts with this one , but it's a good start ."
3,c04-110-03.jpg,"CHRIS CHARLES , 39 , who lives in Stockton-on-Tees , is an accountant ."
4,c04-116-00.jpg,He is also a director of a couple of garages . And he finds time as well to be a lyric
5,c04-116-01.jpg,"writer . He writes with Tolchard Evans , composer of "" Lady of Spain "" and other big hits ."
6,c04-116-02.jpg,"Tolch , as he is known in Tin Pan Alley , likes songs with a month in the title . He wrote"
7,c04-116-03.jpg,""" My September Love , "" the big David Whitfield hit of 1956 ."
8,c04-134-00.jpg,"The numbers include "" Scotland the Brave , "" "" Men of Harlech , """
9,c04-134-01.jpg,""" McNamara's Band , "" "" Greensleeves "" and "" English Rose . """
10,c04-134-02.jpg,"Fay Compton stars in "" No Hiding Place "" ( ITV , 9.35 p.m. ) ."
11,c04-134-03.jpg,She plays the possessive mother of a man whose hobby revolves
12,c04-134-04.jpg,round a doll's house .
13,c04-134-05.jpg,"THREE people will be hypnotised in tonight's "" Lifeline """
14,c04-134-06.jpg,"( BBC , 10.15 ) ."
15,c04-139-00.jpg,They will be asked to comment on the design of everyday articles
16,c04-139-01.jpg,such as a chair and a motor-car . The idea is to see what happens when
17,c04-139-02.jpg,parts of the mind not normally available without hypnosis are used .
18,c04-139-03.jpg,"ITV have postponed Malcolm Muggeridge's "" Appointment with"
19,c04-139-04.jpg,"playwright Arnold Wesker . "" Instead , Muggeridge's appointment"
20,c04-139-05.jpg,will be with Sir Roy Welensky the Premier of the Federation
21,c04-139-06.jpg,of Rhodesia and Nyasaland ( 10.30 p.m. ) .
22,c04-144-00.jpg,"Say Granada TV , the producers : "" We decided to make"
23,c04-144-01.jpg,the switch because of the topicality of African
24,c04-144-02.jpg,affairs . The Wesker interview will be seen at a later
25,c04-144-03.jpg,"date . "" ACTOR Tom Courtenay was an outstanding"
26,c04-144-04.jpg,"success last night in ITV's "" Private Potter , "" his"
27,c04-144-05.jpg,first big TV part . The play was a brilliantly-written
